lesson_title,guide_skill,best_video_skill,similarity_score,match_status,matched
القيمة المنزلية,التمييز بين الرقم وقيمته المنزليه,ايجاد القيمه المنزليه للارقام ضمن الاعداد,0.811,Semantic Match,True
القيمة المنزلية,تمثيل العدد باستخدام لوحه المنازل,تكوين اعداد,0.783,Semantic Match,True
القيمة المنزلية والصورة الموسعة,تحديد القيمه المنزليه لرقم في عدد ضمن 99999,ايجاد القيمه المنزليه للارقام ضمن العدد 99999,0.95,Exact/Semantic Match,True
القيمة المنزلية والصورة الموسعة,كتابه العدد ضمن 99999 بالصوره الموسعه,كتابه الاعداد ضمن 99999 بالصوره الموسعه,0.964,Exact/Semantic Match,True
القيمة المنزلية والصورة الموسعة,كتابه العدد ضمن 99999 بالصوره المختصره,كتابه الاعداد ضمن 99999 بالصوره المختصره,0.964,Exact/Semantic Match,True
القيمة المنزلية والصورة الموسعة,تحليل العدد حسب القيم المنزليه,تحديد الارقام,0.732,Semantic Match,True
القيمة المنزلية والصورة الموسعة,تمثيل العدد بلوحه المنازل,تحديد اصغر عدد مكون من خمس منازل,0.709,Semantic Match,True
الكسور,تعرف مفهوم الكسر العادي,التعرف الي الكسور العاديه,0.814,Semantic Match,True
الكسور,قراءه الكسور البسيطه وكتابتها,قراءه الكسور بالكلمات,0.871,Exact/Semantic Match,True
الكسور,تحديد البسط والمقام,تحديد البسط,0.929,Covered by General Skill,True
الكسور,تمثيل الكسور باستخدام الاشكال او المحسوسات,تحليل التمثيلات البصريه للكسور,0.791,Semantic Match,True
الكسور,ربط الكسر بجزء من كل,المقام في الكسر,0.788,Semantic Match,True
الكسور المتكافئة,تعرف مفهوم الكسور المتكافئه,التعرف علي مفهوم الكسور المتكافئه,0.853,Exact/Semantic Match,True
الكسور المتكافئة,تمثيل كسور متكافئه باستخدام النماذج,تطبيق عملي لمفهوم الكسور المتكافئه,0.773,Semantic Match,True
الكسور المتكافئة,ايجاد كسور مكافئه لكسر معطي,ايجاد كسور مكافئه لكسور معطاه,0.833,Semantic Match,True
الكسور المتكافئة,التحقق من تكافؤ كسرين باستخدام التمثيل,التحقق من تكافؤ الكسور عن طريق تجزئه الاشكال,0.794,Semantic Match,True
الكسور المتكافئة,توظيف الكسور المتكافئه في مواقف بسيطه,تطبيق عملي لمفهوم الكسور المتكافئه,0.72,Semantic Match,True
المثلث,تعرف مفهوم المثلث,التعرف علي عناصر المثلث,0.737,Semantic Match,True
المثلث,تحديد اضلاع ورؤوس وزوايا المثلث,تصنيف المثلثات حسب زواياها,0.781,Semantic Match,True
المثلث,رسم مثلث,رسم المثلثات,0.91,Exact/Semantic Match,True
المثلث,تصنيف المثلثات بصوره اوليه حسب الشكل,تصنيف المثلثات حسب زواياها,0.896,Exact/Semantic Match,True
المثلث,تمييز المثلث عن الاشكال الهندسيه الاخري,استنتاج خصائص المثلث,0.762,Semantic Match,True
المجسمات,تعرف المجسمات الهندسيه,التعرف علي المجسمات الهندسيه,0.891,Exact/Semantic Match,True
المجسمات,تمييز المخروط والهرم الرباعي,تحديد خصائص الهرم الرباعي القاعده,0.815,Semantic Match,True
المجسمات,تحديد اوجه ورؤوس واحرف بعض المجسمات,التعرف علي مجسم الهرم الرباعي,0.801,Semantic Match,True
المجسمات,تصنيف المجسمات حسب خصائصها,تصنيف المجسمات الاساسيه,0.861,Exact/Semantic Match,True
المجسمات,ربط المجسمات باشياء من البيئه,التعرف علي مجسم المخروط,0.814,Semantic Match,True
المحيط,تعرف مفهوم المحيط,التعرف علي مفهوم المحيط,0.842,Semantic Match,True
المحيط,ايجاد محيط شكل هندسي بعد الوحدات,ايجاد محيط اشكال هندسيه مرسومه علي شبكه مربعات عن طريق عد الوحدات,0.836,Semantic Match,True
المحيط,حساب محيط المستطيل والمربع من اطوال الاضلاع,ايجاد محيط اشكال هندسيه مرسومه علي شبكه مربعات عن طريق عد الوحدات,0.803,Semantic Match,True
المحيط,تمييز المحيط عن المساحه,التعرف علي مفهوم المحيط,0.864,Exact/Semantic Match,True
المحيط,حل مسائل حياتيه علي المحيط,توظيف مفهوم المحيط في حل مشكلات حياتيه,0.754,Semantic Match,True
المساحة,تعرف مفهوم المساحه,فهم تعريف المساحه,0.805,Semantic Match,True
المساحة,تقدير مساحه اشكال بسيطه,التعرف الي مفهوم المساحه,0.685,Partial Match,False
المساحة,ايجاد مساحه شكل بعد المربعات,ايجاد مساحه اشكال هندسيه مرسومه علي شبكه مربعات بعد الوحدات المربعه,0.832,Semantic Match,True
المساحة,مقارنه مساحات اشكال مختلفه,مقارنه مساحات الاشكال المختلفه,0.979,Exact/Semantic Match,True
المساحة,حل مسائل حياتيه علي المساحه,حل المشكلات الرياضيه في سياقات حياتيه,0.743,Semantic Match,True
المستطيل والمربع,تعرف خصائص المستطيل,التعرف علي الزوايا القائمه,0.709,Semantic Match,True
المستطيل والمربع,تعرف خصائص المربع,تحديد اجزاء المربع,0.75,Semantic Match,True
المستطيل والمربع,التمييز بين المستطيل والمربع,تحديد اجزاء المربع,0.814,Semantic Match,True
المستطيل والمربع,رسم مستطيل ومربع,تحديد اجزاء المربع,0.824,Semantic Match,True
المستطيل والمربع,تحديد الاضلاع والرؤوس والزوايا في المستطيل والمربع,تحديد اجزاء المربع,0.802,Semantic Match,True
المقارنة بين الأعداد ضمن 9999,مقارنه عددين ضمن 9999 باستخدام اشارات المقارنه,المقارنه بين عددين ضمن 9999,0.94,Exact/Semantic Match,True
المقارنة بين الأعداد ضمن 9999,ترتيب الاعداد ضمن 9999 تصاعديا,قراءه الاعداد ضمن 9999,0.822,Semantic Match,True
المقارنة بين الأعداد ضمن 9999,ترتيب الاعداد ضمن 9999 تنازليا,قراءه الاعداد ضمن 9999,0.865,Exact/Semantic Match,True
المقارنة بين الأعداد ضمن 9999,استخدام القيمه المنزليه في المقارنه بين الاعداد,مقارنه الاعداد الصحيحه,0.757,Semantic Match,True
المقارنة بين الأعداد ضمن 9999,تحديد العدد الاكبر والعدد الاصغر ضمن مجموعه اعداد,تحديد القيمه المنزليه للرقم في عدد,0.715,Semantic Match,True
تمثيل البيانات بالجداول,تنظيم بيانات بسيطه في جدول,تنظيم البيانات في جداول بسيطه,0.962,Exact/Semantic Match,True
تمثيل البيانات بالجداول,قراءه البيانات من جدول,قراءه البيانات,0.876,Covered by General Skill,True
تمثيل البيانات بالجداول,تمثيل البيانات بالجداول,تمثيل البيانات بالصور,0.845,Semantic Match,True
تمثيل البيانات بالجداول,مقارنه القيم داخل الجداول,مقارنه البيانات,0.768,Semantic Match,True
تمثيل البيانات بالجداول,الاجابه عن اسئله اعتمادا علي الجداول,صياغه الاسئله,0.744,Semantic Match,True
جمع عددين ضمن 9999 دون حمل,ايجاد ناتج جمع عددين ضمن 9999 دون حمل,ايجاد ناتج جمع عددين ضمن 9999 دون حمل,1.0,Covered by General Skill,True
جمع عددين ضمن 9999 دون حمل,تمثيل الجمع دون حمل باستخدام المعداد او لوحه المنازل,جمع اعداد مكونه من ثلاث منازل دون حمل,0.666,Partial Match,False
جمع عددين ضمن 9999 دون حمل,اجراء الجمع العمودي دون حمل,التحقق من صحه ناتج الجمع عموديا باستخدام خاصيه التبديل,0.627,Partial Match,False
جمع عددين ضمن 9999 دون حمل,حل مسائل حياتيه علي الجمع دون حمل,تطبيق مهارات الجمع في حل مسائل حياتيه,0.632,Partial Match,False
جمع عددين ضمن 9999 مع الحمل,ايجاد ناتج جمع عددين ضمن 9999 مع الحمل,جمع عددين ضمن 9999 مع حمل اعاده تجميع,0.808,Semantic Match,True
جمع عددين ضمن 9999 مع الحمل,تمثيل الجمع مع الحمل باستخدام الاجسام الحسابيه او لوحه المنازل,تطبيق خطوات الجمع العمودي مع الحمل,0.728,Semantic Match,True
جمع عددين ضمن 9999 مع الحمل,اجراء الجمع العمودي مع الحمل,تطبيق خطوات الجمع العمودي مع الحمل,0.931,Exact/Semantic Match,True
جمع عددين ضمن 9999 مع الحمل,تفسير عمليه الحمل بين المنازل,تطبيق خطوات الجمع العمودي مع الحمل,0.76,Semantic Match,True
جمع عددين ضمن 9999 مع الحمل,حل مسائل حياتيه علي الجمع مع الحمل,تطبيق خطوات الجمع العمودي مع الحمل,0.706,Semantic Match,True
جمع عددين ضمن 99999,ايجاد ناتج جمع عددين ضمن 99999 دون حمل,ايجاد ناتج جمع عددين ضمن 99999,0.935,Covered by General Skill,True
جمع عددين ضمن 99999,ايجاد ناتج جمع عددين ضمن 99999 مع حمل,ايجاد ناتج جمع عددين ضمن 99999,0.937,Covered by General Skill,True
جمع عددين ضمن 99999,تمثيل عمليه الجمع بطرق مختلفه,توظيف عمليه الجمع في حل مشكلات حياتيه,0.649,Partial Match,False
جمع عددين ضمن 99999,اجراء الجمع العمودي ضمن 99999,ايجاد ناتج جمع عددين ضمن 99999,0.887,Exact/Semantic Match,True
جمع عددين ضمن 99999,التحقق من معقوليه ناتج الجمع بالتقدير,التحقق من صحه عمليه الجمع بالتقدير,0.88,Exact/Semantic Match,True
جمع عددين ضمن 99999,حل مسائل حياتيه علي الجمع,توظيف عمليه الجمع في حل مشكلات حياتيه,0.887,Exact/Semantic Match,True
حقائق الضرب للعدد 2,تمثيل الضرب كجمع متكرر للعدد 2,حساب نواتج الضرب للعدد 2,0.81,Semantic Match,True
حقائق الضرب للعدد 2,استنتاج حقائق الضرب للعدد 2,التعرف علي حقائق الضرب للعدد 2,0.96,Exact/Semantic Match,True
حقائق الضرب للعدد 2,قراءه جمله الضرب للعدد 2,التعرف علي حقائق الضرب للعدد 2,0.782,Semantic Match,True
حقائق الضرب للعدد 2,كتابه جمله الضرب المناسبه لموقف مصور,التعبير عن الرسم بجمله ضرب مناسبه,0.76,Semantic Match,True
حقائق الضرب للعدد 2,حل مسائل حياتيه باستخدام حقائق الضرب للعدد 2,توظيف حقائق الضرب للعدد 2 في حل مشكلات حياتيه مسائل كلاميه,0.919,Exact/Semantic Match,True
حقائق الضرب للعدد 3,تمثيل الضرب كجمع متكرر للعدد 3,ربط الجمع المتكرر بالضرب,0.738,Semantic Match,True
حقائق الضرب للعدد 3,استنتاج حقائق الضرب للعدد 3,التعرف علي حقائق الضرب,0.708,Semantic Match,True
حقائق الضرب للعدد 3,قراءه جمله الضرب للعدد 3,ربط الجمع المتكرر بالضرب,0.599,Partial Match,False
حقائق الضرب للعدد 3,كتابه جمله الضرب المناسبه لموقف مصور,التمثيل بالرسم,0.644,Partial Match,False
حقائق الضرب للعدد 3,حل مسائل حياتيه باستخدام حقائق الضرب للعدد 3,حل المشكلات,0.677,Partial Match,False
حقائق الضرب للعدد 4,تمثيل الضرب كجمع متكرر للعدد 4,ربط الجمع المتكرر بالضرب,0.724,Semantic Match,True
حقائق الضرب للعدد 4,استنتاج حقائق الضرب للعدد 4,استنتاج حقائق الضرب المتتاليه,0.798,Semantic Match,True
حقائق الضرب للعدد 4,قراءه جمله الضرب للعدد 4,تحديد مكونات جمله الضرب,0.626,Partial Match,False
حقائق الضرب للعدد 4,كتابه جمله الضرب المناسبه لموقف مصور,التعبير عن الرسم بجمله ضرب,0.703,Semantic Match,True
حقائق الضرب للعدد 4,حل مسائل حياتيه باستخدام حقائق الضرب للعدد 4,استنتاج حقائق الضرب,0.71,Semantic Match,True
حقائق الضرب للعدد 5,تمثيل الضرب كجمع متكرر للعدد 5,استنتاج الانماط الرياضيه,0.583,Partial Match,False
حقائق الضرب للعدد 5,استنتاج حقائق الضرب للعدد 5,التعرف علي حقائق الضرب,0.698,Partial Match,False
حقائق الضرب للعدد 5,قراءه جمله الضرب للعدد 5,حل المسائل اللفظيه,0.561,Partial Match,False
حقائق الضرب للعدد 5,كتابه جمله الضرب المناسبه لموقف مصور,التعبير عن الرسم بجمله ضرب,0.703,Semantic Match,True
حقائق الضرب للعدد 5,حل مسائل حياتيه باستخدام حقائق الضرب للعدد 5,التعرف علي حقائق الضرب,0.685,Partial Match,False
حقائق الضرب للعدد 6,تمثيل الضرب كجمع متكرر للعدد 6,استخدام الجمع المتكرر,0.707,Semantic Match,True
حقائق الضرب للعدد 6,استنتاج حقائق الضرب للعدد 6,استنتاج الانماط العدديه,0.694,Partial Match,False
حقائق الضرب للعدد 6,قراءه جمله الضرب للعدد 6,الحساب الذهني,0.608,Partial Match,False
حقائق الضرب للعدد 6,كتابه جمله الضرب المناسبه لموقف مصور,التعبير عن الرسم بجمله ضرب,0.703,Semantic Match,True
حقائق الضرب للعدد 6,حل مسائل حياتيه باستخدام حقائق الضرب للعدد 6,حل المشكلات الحياتيه,0.698,Partial Match,False
حقائق الضرب للعدد 7,تمثيل الضرب كجمع متكرر للعدد 7,استنتاج حقائق الضرب باستخدام الجمع المتكرر,0.657,Partial Match,False
حقائق الضرب للعدد 7,استنتاج حقائق الضرب للعدد 7,استنتاج حقائق الضرب المتتاليه,0.771,Semantic Match,True
حقائق الضرب للعدد 7,قراءه جمله الضرب للعدد 7,صياغه مسائل لفظيه للضرب,0.593,Partial Match,False
حقائق الضرب للعدد 7,كتابه جمله الضرب المناسبه لموقف مصور,تمثيل عمليه الضرب بالرسم,0.692,Partial Match,False
حقائق الضرب للعدد 7,حل مسائل حياتيه باستخدام حقائق الضرب للعدد 7,حل مشكلات حياتيه باستخدام الضرب,0.698,Partial Match,False
حقائق الضرب للعدد 8,تمثيل الضرب كجمع متكرر للعدد 8,التعرف علي حقائق الضرب للعدد 8,0.722,Semantic Match,True
حقائق الضرب للعدد 8,استنتاج حقائق الضرب للعدد 8,التعرف علي حقائق الضرب للعدد 8,0.962,Exact/Semantic Match,True
حقائق الضرب للعدد 8,قراءه جمله الضرب للعدد 8,التعرف علي حقائق الضرب للعدد 8,0.798,Semantic Match,True
حقائق الضرب للعدد 8,كتابه جمله الضرب المناسبه لموقف مصور,التعبير عن الرسم بجمله ضرب مناسبه,0.76,Semantic Match,True
حقائق الضرب للعدد 8,حل مسائل حياتيه باستخدام حقائق الضرب للعدد 8,التعرف علي حقائق الضرب للعدد 8,0.83,Semantic Match,True
حقائق الضرب للعدد 9,تمثيل الضرب كجمع متكرر للعدد 9,استنتاج نواتج الضرب باستخدام النمط,0.698,Partial Match,False
حقائق الضرب للعدد 9,استنتاج حقائق الضرب للعدد 9,استنتاج انماط في حقائق الضرب,0.757,Semantic Match,True
حقائق الضرب للعدد 9,قراءه جمله الضرب للعدد 9,اكمال جداول الضرب,0.6,Partial Match,False
حقائق الضرب للعدد 9,كتابه جمله الضرب المناسبه لموقف مصور,تمثيل الضرب باستخدام رسومات او مواقف حياتيه,0.716,Semantic Match,True
حقائق الضرب للعدد 9,حل مسائل حياتيه باستخدام حقائق الضرب للعدد 9,حل مسائل كلاميه حياتيه متعدده الخطوات,0.733,Semantic Match,True
خصائص عملية الضرب,تعرف خاصيه الابدال في الضرب,التعرف علي خاصيه الضرب بالعدد,0.874,Exact/Semantic Match,True
خصائص عملية الضرب,استخدام خاصيه الابدال لايجاد نواتج الضرب,التعرف علي الخاصيه التبديليه لعمليه الضرب,0.762,Semantic Match,True
خصائص عملية الضرب,تعرف مفهوم العنصر المحايد في الضرب,التعرف علي خصائص عمليه الضرب الاساسيه,0.801,Semantic Match,True
خصائص عملية الضرب,تعرف اثر الضرب في الصفر,التعرف علي خاصيه الضرب بالعدد صفر,0.828,Semantic Match,True
خصائص عملية الضرب,توظيف خصائص الضرب في تبسيط الحسابات,حل مسائل تتضمن خصائص الضرب,0.688,Partial Match,False
طرح عددين ضمن 9999 دون استلاف,ايجاد ناتج طرح عددين ضمن 9999 دون استلاف,ايجاد ناتج طرح عددين ضمن 9999 دون استلاف,1.0,Covered by General Skill,True
طرح عددين ضمن 9999 دون استلاف,تمثيل الطرح دون استلاف باستخدام لوحه المنازل,اجراء عمليه الطرح العمودي باستخدام لوحه المنازل,0.899,Exact/Semantic Match,True
طرح عددين ضمن 9999 دون استلاف,اجراء الطرح العمودي دون استلاف,التحقق من صحه عمليه الطرح بالجمع,0.719,Semantic Match,True
طرح عددين ضمن 9999 دون استلاف,حل مسائل حياتيه علي الطرح دون استلاف,حل المشكلات الحياتيه,0.839,Semantic Match,True
طرح عددين ضمن 9999 مع الاستلاف,ايجاد ناتج طرح عددين ضمن 9999 مع الاستلاف,طرح عددين ضمن 9999 مع الاستلاف,0.977,Covered by General Skill,True
طرح عددين ضمن 9999 مع الاستلاف,تمثيل الطرح مع الاستلاف باستخدام الاجسام الحسابيه او لوحه المنازل,تمثيل الطرح باستخدام لوحه المنازل,0.894,Exact/Semantic Match,True
طرح عددين ضمن 9999 مع الاستلاف,اجراء الطرح العمودي مع الاستلاف,التفكير النقدي حول الاستلاف,0.844,Semantic Match,True
طرح عددين ضمن 9999 مع الاستلاف,تفسير عمليه الاستلاف بين المنازل,فهم العلاقات بين المنازل العشريه,0.852,Exact/Semantic Match,True
طرح عددين ضمن 9999 مع الاستلاف,حل مسائل حياتيه علي الطرح مع الاستلاف,تطبيق عمليه الطرح في حل مشكلات حياتيه,0.868,Exact/Semantic Match,True
طرح عددين ضمن 99999,ايجاد ناتج طرح عددين ضمن 99999 دون استلاف,حل المشكلات الرياضيه,0.556,Partial Match,False
طرح عددين ضمن 99999,ايجاد ناتج طرح عددين ضمن 99999 مع استلاف,حل المشكلات الرياضيه,0.549,Missing,False
طرح عددين ضمن 99999,تمثيل عمليه الطرح بطرق مختلفه,طرح الاعداد,0.633,Partial Match,False
طرح عددين ضمن 99999,اجراء الطرح العمودي ضمن 99999,طرح الاعداد,0.6,Partial Match,False
طرح عددين ضمن 99999,التحقق من معقوليه ناتج الطرح بالتقدير,مقارنه الاعداد,0.65,Partial Match,False
طرح عددين ضمن 99999,توظيف العلاقه العكسيه بين الجمع والطرح في حل المسائل,مقارنه الاعداد,0.602,Partial Match,False
مقارنة الأعداد,مقارنه الاعداد ضمن 99999 باستخدام اشارات المقارنه,,0.0,Missing,False
مقارنة الأعداد,ترتيب الاعداد ضمن 99999 تصاعديا,,0.0,Missing,False
مقارنة الأعداد,ترتيب الاعداد ضمن 99999 تنازليا,,0.0,Missing,False
مقارنة الأعداد,استخدام عدد المنازل والقيمه المنزليه في المقارنه,,0.0,Missing,False
مقارنة الأعداد,حل مواقف حياتيه تتطلب مقارنه الاعداد,,0.0,Missing,False
مقارنة الكسور,مقارنه كسور لها المقام نفسه,مقارنه الكسور ذات المقام المتشابه,0.896,Exact/Semantic Match,True
مقارنة الكسور,مقارنه كسور لها البسط نفسه,مقارنه الكسور,0.883,Exact/Semantic Match,True
مقارنة الكسور,استخدام النماذج البصريه في مقارنه الكسور,المقارنه البصريه للكسور باستخدام النماذج,0.958,Exact/Semantic Match,True
مقارنة الكسور,ترتيب كسور بسيطه,ترتيب الكسور,0.786,Semantic Match,True
مقارنة الكسور,تحديد الكسر الاكبر والكسر الاصغر,المقارنه بين كسرين,0.797,Semantic Match,True
وحدات قياس الزمن,تعرف وحدات قياس الزمن,حل مسائل لفظيه تتضمن حساب الوقت,0.681,Partial Match,False
وحدات قياس الزمن,قراءه الساعه,قراءه الساعه بالتمام,0.996,Covered by General Skill,True
وحدات قياس الزمن,التمييز بين الساعه والدقيقه واليوم والاسبوع,قراءه الساعه بالتمام,0.956,Exact/Semantic Match,True
وحدات قياس الزمن,حساب فترات زمنيه بسيطه,حل مسائل لفظيه تتضمن حساب الوقت,0.685,Partial Match,False
وحدات قياس الزمن,حل مسائل حياتيه علي الزمن,حل مسائل لفظيه تتضمن حساب الوقت,0.641,Partial Match,False
وحدات قياس الطول,تعرف وحدات قياس الطول,تحديد ادوات قياس الطول المختلفه,0.792,Semantic Match,True
وحدات قياس الطول,استخدام المتر والسنتيمتر والكيلومتر,قياس الاطوال بالسنتمتر,0.881,Exact/Semantic Match,True
وحدات قياس الطول,اختيار وحده قياس الطول المناسبه,تحديد ادوات قياس الطول المختلفه,0.852,Exact/Semantic Match,True
وحدات قياس الطول,قياس اطوال بسيطه,حده القياس الانسب لاطوال معطاه,0.831,Semantic Match,True
وحدات قياس الطول,حل مسائل حياتيه علي الطول,حدات القياس في حل مشكلات حياتيه,0.792,Semantic Match,True
وحدات قياس الكتلة,تعرف وحدات قياس الكتله,حده القياس الانسب لكتله معطاه,0.781,Semantic Match,True
وحدات قياس الكتلة,استخدام الكيلوغرام والغرام في قياس الكتله,حدات قياس الكتله الكيلوغرام,0.891,Exact/Semantic Match,True
