file_name,unit_number,unit_title,lesson_number,lesson_title,skill,concept,learning_objective,difficulty_level,evidence_from_transcript
NA - -2021- الرياضيات ｜ الوحدة 1 ｜ القيمة المنزلية ｜ الدرس 2 ｜ الصف 3 ｜ الفصل 1.txt,1,القيمة المنزلية,2.0,القيمة المنزلية,كتابة الأعداد بالصورة الموسعة,تحويل من الصورة المختصرة إلى الصورة الموسعة,,Medium,أكتب العدد الذي يمثل المساحة بالصورة الموسعة. كُتب أمامنا العدد (٢٠٤٠) بالصورة المختصرة، ونريد أن نكتبها بالصورة الموسعة
NA - -2021- الرياضيات ｜ الوحدة 1 ｜ القيمة المنزلية ｜ الدرس 2 ｜ الصف 3 ｜ الفصل 1.txt,1,القيمة المنزلية,2.0,القيمة المنزلية,كتابة الأعداد بالصورة المختصرة,تحويل من الصورة الموسعة إلى الصورة المختصرة,,Medium,أكتب العدد بالصورة المختصرة. ظهر أمامنا عدد بالصورة الموسعة، نكتبه بالصورة المختصرة.
NA - -2021- الرياضيات ｜ الوحدة 1 ｜ القيمة المنزلية ｜ الدرس 2 ｜ الصف 3 ｜ الفصل 1.txt,1,القيمة المنزلية,2.0,القيمة المنزلية,تكوين أعداد,خصائص منازل الأعداد وتكوينها,,Medium,أكتب عددًا مكونًا من أربع منازل، يكون في منزلة الآلاف الرقم ٥ ومنزلة العشرات الرقم ٣.
NA - -2021- الرياضيات ｜ الوحدة 1 ｜ القيمة المنزلية ｜ الدرس 2 ｜ الصف 3 ｜ الفصل 1.txt,1,القيمة المنزلية,2.0,القيمة المنزلية,استكمال الصورة الموسعة أو المختصرة,إيجاد الأرقام والقيم المنزلية المفقودة,,Medium,أكتب العدد المناسب في المربع. هيا بنا نلاحظ على يمين المساواة العدد بالصورة الموسعة، وعلى يسارها العدد بالصورة المختصرة. هيا بنا نقرر ما هو العدد المناسب الذي سأكتبه بداخل المربع.
NA - -2021- الرياضيات ｜ الوحدة 1 ｜ المقارنة بين الاعداد ضمن 9999 ｜ الدرس 3 ｜ الصف 3 ｜ الفصل1.txt,1,المقارنة بين الاعداد ضمن 9999,3.0,المقارنة بين الأعداد ضمن تسعة آلاف وتسع مئة وتسعة وتسعين,قراءة الأعداد ضمن 9999,تمثيل الأعداد المكونة من أربع منازل,قراءة الأعداد المكونة من أربع منازل بشكل صحيح,Easy,كيف نقرأ هذا العدد؟ هيا بنا نقرأ معاً: ثلاثة آلاف وخمس مئة وثمانون (3580). وعدد الذكور: ألفان وتسع مئة وتسعة وسبعون (2979).
NA - -2021- الرياضيات ｜ الوحدة 1 ｜ المقارنة بين الاعداد ضمن 9999 ｜ الدرس 3 ｜ الصف 3 ｜ الفصل1.txt,1,المقارنة بين الاعداد ضمن 9999,3.0,المقارنة بين الأعداد ضمن تسعة آلاف وتسع مئة وتسعة وتسعين,المقارنة بين عددين مكونين من ثلاث منازل,قيمة المنزلة (المئات),مقارنة عددين مكونين من ثلاث منازل لتحديد الأكبر أو الأصغر,Easy,لاحظوا أن عدد الإناث 569، وعدد الذكور 306. وكلاهما عددان مكونان من ثلاث منازل. تعلمنا في الصف الثاني الأساسي كيف نقارن بين عددين مكونين من ثلاث منازل.
NA - -2021- الرياضيات ｜ الوحدة 1 ｜ المقارنة بين الاعداد ضمن 9999 ｜ الدرس 3 ｜ الصف 3 ｜ الفصل1.txt,1,المقارنة بين الاعداد ضمن 9999,3.0,المقارنة بين الأعداد ضمن تسعة آلاف وتسع مئة وتسعة وتسعين,المقارنة بين عددين ضمن 9999,الأعداد ضمن 9999,المقارنة بين عددين ضمن تسعة آلاف وتسع مئة وتسعة وتسعين,Medium,هذا ما سنتعلمه في لقاء اليوم، وهو بعنوان 'المقارنة بين الأعداد ضمن تسعة آلاف وتسع مئة وتسعة وتسعين'.
NA - -2021- الرياضيات ｜ الوحدة 1 ｜ المقارنة بين الاعداد ضمن 9999 ｜ الدرس 3 ｜ الصف 3 ｜ الفصل1.txt,1,المقارنة بين الاعداد ضمن 9999,3.0,المقارنة بين الأعداد ضمن تسعة آلاف وتسع مئة وتسعة وتسعين,مقارنة الأعداد ذات عدد المنازل المختلفة,عدد المنازل (عدد الأرقام في العدد),تحديد العدد الأكبر أو الأصغر بناءً على عدد منازله,Easy,هنا عدد المنازل ثلاث منازل، وهنا عدد المنازل أربع منازل. إذن العدد الأكبر هو صاحب عدد المنازل الأكثر. هيا بنا نقرأ معاً: العدد الذي منازله أكثر هو الأكبر.
NA - -2021- الرياضيات ｜ الوحدة 1 ｜ المقارنة بين الاعداد ضمن 9999 ｜ الدرس 3 ｜ الصف 3 ｜ الفصل1.txt,1,المقارنة بين الاعداد ضمن 9999,3.0,المقارنة بين الأعداد ضمن تسعة آلاف وتسع مئة وتسعة وتسعين,مقارنة الأعداد ذات نفس عدد المنازل,قيمة المنزلة (آحاد الآلاف، المئات، العشرات),مقارنة عددين لهما نفس عدد المنازل بالبدء من أعلى منزلة والانتقال تدريجياً,Medium,للمقارنة بين عددين لهما نفس عدد المنازل، أبدأ المقارنة من أعلى منزلة. وفي حال تساوت الأرقام، أنتقل إلى المنزلة التي تليها مباشرة، وأستمر في الانتقال حتى أصل إلى منزلتين الأرقام فيهما مختلفة، فيكون العدد الأكبر هو العدد الذي يحتوي الرقم الأكبر.
NA - -2021- الرياضيات ｜ الوحدة 1 ｜ المقارنة بين الاعداد ضمن 9999 ｜ الدرس 3 ｜ الصف 3 ｜ الفصل1.txt,1,المقارنة بين الاعداد ضمن 9999,3.0,المقارنة بين الأعداد ضمن تسعة آلاف وتسع مئة وتسعة وتسعين,ترتيب الأعداد تصاعدياً,الترتيب التصاعدي (من الأصغر إلى الأكبر),ترتيب مجموعة من الأعداد تصاعدياً ضمن 9999,Medium,لنساعد علي في ترتيب الأعداد التي على البطاقات تصاعدياً. ماذا نعني بالترتيب التصاعدي؟ أحسنتم، من العدد الأصغر إلى العدد الأكبر.
NA - -2021- الرياضيات ｜ الوحدة 1 ｜ المقارنة بين الاعداد ضمن 9999 ｜ الدرس 3 ｜ الصف 3 ｜ الفصل1.txt,1,المقارنة بين الاعداد ضمن 9999,3.0,المقارنة بين الأعداد ضمن تسعة آلاف وتسع مئة وتسعة وتسعين,ترتيب الأعداد تنازلياً,الترتيب التنازلي (من الأكبر إلى الأصغر),ترتيب مجموعة من الأعداد تنازلياً ضمن 9999,Medium,نرتب أسعار السيارات التي بالدينار ترتيباً تنازلياً. ماذا نعني في البداية بالترتيب التنازلي؟ متفقون على أن الترتيب التنازلي من العدد الأكبر إلى العدد الأصغر.
NA - -2021- الرياضيات ｜ الوحدة 1 ｜ المقارنة بين الاعداد ضمن 9999 ｜ الدرس 3 ｜ الصف 3 ｜ الفصل1.txt,1,المقارنة بين الاعداد ضمن 9999,3.0,المقارنة بين الأعداد ضمن تسعة آلاف وتسع مئة وتسعة وتسعين,توظيف ترتيب الأعداد في حل مشكلات حياتية,تطبيقات الرياضيات في الحياة اليومية,توظيف ترتيب الأعداد في حل مشكلات حياتية,Hard,يُتوقع منا بعد الانتهاء من هذا الدرس أن نكون قادرين على: ...أن نوظف ترتيب الأعداد في حل مشكلات حياتية.
NA - -2021- الرياضيات ｜ الوحدة 1 ｜ جمع عددين 9999 دون حمل ｜ الدرس 5 ｜ الصف 3 ｜ الفصل 1.txt,1,جمع عددين 9999 دون حمل,5.0,جمع عددين ضمن 9999 دون حمل,إيجاد ناتج جمع عددين ضمن 9999 دون حمل,جمع الأعداد الصحيحة، قيمة المنزلة (آحاد، عشرات، مئات، آلاف)، الجمع العمودي، الجمع الأفقي,إيجاد ناتج جمع عددين ضمن 9999 دون حمل,Easy,لقاء اليوم، أعزائي الطلاب، عن جمع عددين ضمن 9999 دون حمل. ... يُتوقع منا أعزائي الطلاب بعد الانتهاء من هذا الدرس أن نكون قادرين على إيجاد ناتج جمع عددين ضمن 9999 دون حمل.
NA - -2021- الرياضيات ｜ الوحدة 1 ｜ جمع عددين 9999 دون حمل ｜ الدرس 5 ｜ الصف 3 ｜ الفصل 1.txt,1,جمع عددين 9999 دون حمل,5.0,جمع عددين ضمن 9999 دون حمل,التحقق من صحة عملية الجمع باستخدام خاصية التبديل,خاصية التبديل في عملية الجمع (الخاصية الإبدالية),التحقق من عملية الجمع بالتبديل,Easy,يا تُرى هل الحل الذي قمت به حل صحيح؟ هيا بنا نتأكد من ذلك. كيف؟ هيا بنا نتحقق من صحة الحل باستخدام ماذا؟ التبديل. ... والناتجان متساويان. إذن ناتج الجمع الذي حصلت عليه هو صحيح.
NA - -2021- الرياضيات ｜ الوحدة 1 ｜ جمع عددين 9999 دون حمل ｜ الدرس 5 ｜ الصف 3 ｜ الفصل 1.txt,1,جمع عددين 9999 دون حمل,5.0,جمع عددين ضمن 9999 دون حمل,التحقق من معقولية ناتج الجمع باستخدام التقريب لأعلى منزلة,التقريب (التقدير)، معقولية الإجابة,التحقق من معقولية ناتج الجمع بالتقدير,Easy,ما تقريب العدد الأول لأعلى منزلة؟ ... هل ناتج الجمع قريب من الثمانية آلاف؟ أحسنتم، إنه قريب. إذن ... الناتج الذي حصلت عليه هو ناتج معقول.
NA - -2021- الرياضيات ｜ الوحدة 1 ｜ جمع عددين 9999 دون حمل ｜ الدرس 5 ｜ الصف 3 ｜ الفصل 1.txt,1,جمع عددين 9999 دون حمل,5.0,جمع عددين ضمن 9999 دون حمل,حل المشكلات اللفظية (الكلامية) التي تتضمن عملية الجمع,تطبيق عملية الجمع في المواقف الحياتية، تحليل المسائل اللفظية,أن نوظف عملية الجمع في حل المشكلات الحياتية,Easy,ما مجموع الخريجين الذكور والإناث لتخصص الخدمات؟ ... كم ترتفع قمة جبل الجرمق عن البحر الميت. ... ما المبلغ الذي دفعه ثمناً للسيارتين؟
NA - -2021- الرياضيات ｜ الوحدة 1 ｜ جمع عددين 9999 دون حمل ｜ الدرس 5 ｜ الصف 3 ｜ الفصل 1.txt,1,جمع عددين 9999 دون حمل,5.0,جمع عددين ضمن 9999 دون حمل,إيجاد الأرقام الناقصة في مسائل الجمع,العلاقات العددية في عملية الجمع، قيمة المنزلة، التفكير العكسي,,Medium,أكتب العدد المناسب في الدائرة. يوجد لدينا مسألة جمع وهناك بعض الأرقام في بعض المنازل مجهولة. هيا بنا نفكر معاً ونجدها.
NA - -2021- الرياضيات ｜ الوحدة 1 ｜ جمع عددين 9999 دون حمل ｜ الدرس 5 ｜ الصف 3 ｜ الفصل 1.txt,1,جمع عددين 9999 دون حمل,5.0,جمع عددين ضمن 9999 دون حمل,صياغة مسائل كلامية (لفظية) بناءً على عملية جمع معطاة,تمثيل العمليات الحسابية في سياقات حياتية، الربط بين الأعداد والمواقف الحياتية,,Medium,مهمة اليوم هي أن تكتب مسألة يكون حلها العملية الحسابية: ألف وتسعمائة وثمانية وأربعون زائد ثمانية آلاف وواحد وخمسون. وأتحقق من صحة الحل في البداية بالتبديل، ومن معقولية الحل بالتقدير.
NA - -2021- الرياضيات ｜ الوحدة 1 ｜ جمع عددين 9999 دون حمل ｜ الدرس 5 ｜ الصف 3 ｜ الفصل 1.txt,1,جمع عددين 9999 دون حمل,5.0,جمع عددين ضمن 9999 دون حمل,تمثيل الأعداد وعملية الجمع باستخدام المعداد,الأعداد المكونة من أربع منازل، قيمة المنزلة، الجمع باستخدام أدوات حسية,,Easy,هيا بنا أعزائي الطلاب نجمع العددين باستخدام ماذا؟ صديقنا المعداد. أحضرنا المعداد وقمنا بتمثيل العدد 1013 عليه.
NA - -2021- درس 6 ｜ الوحدة 1 ｜ جمع عددين ضمن9999مع حمل ｜ الصف 3 ｜ الفصل 1 ｜ الرياضيات.txt,1,الجمع,6.0,جمع عددين ضمن 9999 مع حمل,جمع عددين ضمن ثلاث منازل مع حمل (إعادة تجميع),عملية الجمع، منزلة الآحاد، منزلة العشرات، منزلة المئات، الحمل (إعادة التجميع),مراجعة جمع عددين ضمن ثلاث منازل مع حمل,Easy,أجمع الآحاد مع الآحاد والعشرات مع العشرات والمئات مع المئات. نجمع 8 زائد 8، ماذا يساوي يا تُرى؟ أحسنتم، 16. كيف أكتب؟ أكتب 6 والمحمول 1. 1 أين؟ في العشرات. 1 زائد 6 يساوي 7، 7 زائد 6 يساوي 13. إذن 3 والمحمول 1. 1 زائد 2 يساوي 3، 3 زائد 1 يساوي 4.
NA - -2021- درس 6 ｜ الوحدة 1 ｜ جمع عددين ضمن9999مع حمل ｜ الصف 3 ｜ الفصل 1 ｜ الرياضيات.txt,1,الجمع,6.0,جمع عددين ضمن 9999 مع حمل,جمع عدد مكون من أربع منازل وعدد مكون من ثلاث منازل مع حمل (إعادة تجميع),عملية الجمع، منزلة الألوف، المجسمات الحسابية، لوحة المنازل، الحمل (إعادة التجميع),إيجاد ناتج جمع عددين ضمن 9999 مع حمل,Medium,إذن سأقول: 2323 زائد 751. عدد مكون من أربع منازل سأجمع معه عدداً مكوناً من ثلاث منازل. كيف يا تُرى سأجري عملية الجمع هذه؟... هيا بنا نجمع باستخدام ماذا؟ المجسمات الحسابية... هيا بنا أعزائي الطلاب نستخدم لوحة المنازل حتى نجد ناتج الجمع.
NA - -2021- درس 6 ｜ الوحدة 1 ｜ جمع عددين ضمن9999مع حمل ｜ الصف 3 ｜ الفصل 1 ｜ الرياضيات.txt,1,الجمع,6.0,جمع عددين ضمن 9999 مع حمل,جمع عددين ضمن 9999 مع حمل (إعادة تجميع),عملية الجمع، الحمل المتعدد، مشكلات حياتية,إيجاد ناتج جمع عددين ضمن 9999 مع حمل,Medium,أقوم بإجراء عملية الجمع وأجمع العددين 3358 مع العدد 4817. عددين مكونين من أربع منازل... 8 زائد 7 ماذا يساوي؟ رائعون، 15. ماذا سأكتب؟ أحسنتم، 5 والمحمول 1. 1 زائد 5 يساوي 6، 6 زائد 1 يساوي 7. رائعون، 7. 3 زائد 8 ماذا يساوي؟ أحسنتم، 11. 1 والمحمول 1. 1 زائد 3 يساوي 4، 4 زائد 4 يساوي 8.
NA - -2021- درس 6 ｜ الوحدة 1 ｜ جمع عددين ضمن9999مع حمل ｜ الصف 3 ｜ الفصل 1 ｜ الرياضيات.txt,1,الجمع,6.0,جمع عددين ضمن 9999 مع حمل,التحقق من صحة عملية الجمع باستخدام خاصية التبديل,خاصية التبديل في الجمع، التحقق من صحة الحل,التحقق من صحة عملية الجمع بالتبديل,Medium,"كيف أتحقق من ذلك؟ هيا بنا نتحقق معاً باستخدام ماذا؟ التبديل... سأكتب 4817 في البداية زائد ماذا؟ 3358... والآن نقارن ناتجي الجمع: 8175, 8175. إذن, ناتج الجمع الذي حصلت عليه هو صحيح."
NA - -2021- درس 6 ｜ الوحدة 1 ｜ جمع عددين ضمن9999مع حمل ｜ الصف 3 ｜ الفصل 1 ｜ الرياضيات.txt,1,الجمع,6.0,جمع عددين ضمن 9999 مع حمل,جمع ثلاثة أعداد ضمن 9999 مع حمل (إعادة تجميع),عملية الجمع، جمع أكثر من عددين، الحمل المتعدد,إيجاد ناتج جمع ثلاثة أعداد ضمن 9999 مع حمل,Medium,"نجمع 917 زائد 1900 زائد 2223. ونبدأ بإجراء عملية الجمع من الآحاد: 7 زائد 0 زائد 3، أحسنتم، 10. صفر والمحمول 1. 1 زائد 1 يساوي 2، 2 زائد 0 يساوي 2، 2 زائد 2 يساوي 4. تسعة زائد تسعة، رائعون، 18. 18 زائد 2, 20. صفر والمحمول 2. 2 زائد 0 يساوي 2، 2 زائد 1 يساوي 3، 3 زائد 2 ماذا يساوي؟ 5."
